McLean,4
Greenwich,4
Baltimore,1
Philadelphia,8
Fremont,1
Dallas,15
Palo Alto,13
King of Prussia,5
Broomfield,2
Seattle,21
Raleigh,11
Austin,32
San Jose,27
Cincinnati,7
Atlanta,28
Dover,3
Miami,8
Mountain View,4
 Arapahoe,6
Waterloo,3
Laurel,7
Scottsdale,1
Jacksonville,1
Lewiston,2
Orange,4
Fort Worth,8
American Fork,2
Chicago,29
Harrisburg,3
Tukwila,2
Arlington,8
Santa Barbara,6
San Francisco,37
Elgin,1
Minneapolis,4
Lexington Park,3
New Castle,1
Oak Ridge,2
Radnor,1
Boston,32
Boulder,6
Oklahoma City,4
North Charleston,4
Denver,19
Salt Lake City,10
Bellevue,15
Falls Church,2
Saline,1
Columbus,6
Sugar Land,1
Beaverton,7
Maple Plain,4
Herndon,8
Erie,2
Wellesley,1
Middleton,4
San Antonio,8
Bellingham,2
Alpharetta,6
New York,31
Bloomington,4
Cupertino,17
Tampa,11
Gulf Breeze,1
Midvale,2
Duluth,3
Madison,7
Menomonee Falls,2
Hartford,1
Indianapolis,6
Houston,12
Redlands,19
San Diego,11
Los Alamos,4
Fort Lauderdale,6
Plymouth,3
Detroit,8
Colorado Springs,3
Franklin,3
Kansas City,4
Miramar,2
Saint Louis,6
Vienna,2
Alexandria,6
Niles,2
Kennesaw,6
Lehi,4
Bryan,2
Deerfield,3
Plano,4
Albuquerque,2
New Portsmouth,7
Coralville,1
Manassas,2
Bedford,9
Lincoln,9
Saint Paul,5
Buffalo,2
â€“Â,39
Aurora,4
Pittsburgh,8
Morgantown,1
Richmond,7
Los Angeles,10
Milwaukee,4
Grovetown,1
Fulton,2
Carrollton,4
Rosslyn,1
Phillips,2
Nashville,6
Bulverde,2
Cary,7
Hampton,5
Redmond,8
North Hills,2
Virginia Beach,2
Charlotte,8
Annapolis Junction,13
San Bernardino,1
Englewood,5
Columbia,8
Rockville,4
Brecksville,1
Gainesville,8
Southington,1
Durham,8
Brentwood,3
Fresno,2
Plantation,3
Newburyport,2
Neptune,1
Lancaster,2
Binghamton,1
Windsor Locks,2
Tulsa,2
Portland,8
Germantown,3
Troy,1
Charlottesville,1
Garland,2
Eagan,2
Stafford,2
Mill Valley,1
Brookvale,2
Oakland,5
Yardley,1
Snoqualmie,2
Point Mugu NAWC,2
Ann Arbor,7
Dublin,1
Oldsmar,1
Cleveland,2
Reno,1
Wilmington,3
Santa Clara,36
Waltham,5
Rochester,6
Farmington,1
Omaha,3
Pleasanton,6
Orem,4
Saratoga Springs,3
Cambridge,9
Carlsbad,4
Greensboro,3
Hialeah,2
West Chester,2
Berkeley Heights,2
Schaumburg,1
Gilbert,2
Colonie,3
De Pere,1
Baton Rouge,7
Milpitas,17
Roswell,2
Farmington Hills,7
Ogden,2
Fort Washington,1
Schenectady,1
Burbank,2
Dahlgren,6
Marietta,1
Miami Lakes,3
Suitland,1
Ambler,1
Fayette,5
Bridgeport,3
Simi Valley,3
Mission,2
Long Island City,1
Chalfont,3
Sterling,2
Vancouver,6
West Des Moines,1
Fort Mill,3
Sunnyvale,9
Phoenix,7
Rock Island,1
Fishers,1
Reston,7
Denton,1
Boca Raton,2
Dresher,1
Irvine,2
Pomona,2
Statesboro,1
Idaho Falls,2
Campbell,2
Chesapeake,1
Lenexa,2
Riverview,1
Draper,2
Kalamazoo,1
Westlake,1
New Orleans,2
Webster,2
Malvern,2
Hollywood,1
Warwick,1
Livermore,1
Elkridge,1
Memphis,1
Pensacola,1
High Point,2
Scotts Valley,3
Tempe,2
Okemos,1
Salisbury,2
Lemont,1
Folsom,1
East Windsor,2
Boise,2
Aberdeen,1
Maynard,2
Rolling Meadows,2
New Britain,4
Sacramento,5
Orlando,5
Verona,1
Washington,3
Huntersville,2
Windsor,2
Deerfield Beach,1
Providence,1
Golden Valley,1
Foster City,2
Louisville,1
Edgewater,2
Champaign,2
Wichita,2
Fort Collins,2
Woodland Hills,1
Tucson,1
Redwood City,4
Lombard,1
Medley,2
East Lansing,1
Henderson,2
Huntsville,1
Fort Wayne,4
Parsippany,1
Lake Forest,2
New Bedford,2
Fishkill,1
Pasadena,2
Powhatan,1
Little Rock,1
Franklin Lakes,1
Sykesville,2
Fairless Hills,1
Los Altos,2
Chula Vista,1
Santa Monica,5
Lansing,3
Independence,2
Medford,2
Springfield,1
Chandler,2
Edison,1
Modesto,2
Portsmouth,1
Eden Prairie,2
Fife,2
Indian Head,2
Minnetonka,2
Medina,2
Fort Detrick,2
Clear Lake,1
 Los Angeles,2
Fort Myers,2
Grapevine,1
Rancho Cucamonga,2
Vandenberg AFB,4
Westerville,1
University Park,1
Burlington,1
Niceville,1
Homestead,2
Lexington,1
Bolingbrook,2
Lorton,1
Conshohocken,2
Chantilly,1
Southampton,2
San Carlos,1
Centreville,2
